N,mode,projection_type,W,recall_at_1,recall_at_5,recall_at_10,mean_rank,mean_margin,p5_margin,mean_gap_ratio,mean_top1_dist,mean_top2_dist,mean_decision_gap,neighbor_recall_at_10,distortion_rate
800,capacity,learned,32,0.7275,0.97,0.9925,1.63,0.11222636319696903,-0.22348784804344177,1.1325758192492037,1.0729345222562552,1.1851608854532243,0.16798410646617412,0.609875,0.06432200223207474
800,capacity,random,64,0.7308333333333333,0.9529166666666667,0.9795833333333334,0.0,0.12981836850444475,-0.12459788521130878,0.0,0.0,0.0,0.16596209332346915,0.6675833333333333,0.003245200185726086
800,capacity,svd,64,0.89375,1.0,1.0,1.12375,0.4138506868481636,-0.06894906759262084,1.1591659948178545,2.727326762378216,3.1411774492263795,0.4318999493122101,0.7917500000000001,0.030872613191604614
800,capacity,learned,64,0.8725,0.99875,1.0,1.17875,0.3386234463751316,-0.11191165447235106,1.1679882835310023,2.210473358184099,2.549096804559231,0.37230642572045325,0.674625,0.06241811439394951
800,capacity,random,128,0.8375,0.9899999999999999,0.9970833333333333,0.0,0.34450078139702484,-0.1369480570157369,0.0,0.0,0.0,0.3766392675042152,0.749625,0.0027029193782558045
800,capacity,svd,128,0.9325,1.0,1.0,1.08125,0.715086721777916,-0.022096204757690426,1.1681908723382444,4.5979087418317794,5.312995463609695,0.7252142179012299,0.8301250000000002,0.008805315010249615
800,capacity,learned,128,0.88,0.99875,1.0,1.1825,0.7062076511979103,-0.1854987859725952,1.1751083512163223,4.454958873391152,5.161166524589062,0.7596488472819328,0.70025,0.06167715787887573
800,capacity,random,256,0.9112499999999999,0.9987499999999999,1.0,0.0,0.7814712923765182,-0.11652305126190184,0.0,0.0,0.0,0.8149032479524613,0.8069166666666666,0.001881007260332505
800,capacity,svd,256,0.9175,1.0,1.0,1.09625,0.7550604349374771,-0.0650949478149414,1.105196793502618,7.561759029030799,8.316819463968278,0.7745936638116837,0.8065000000000001,0.012715274468064308
800,capacity,learned,256,0.87875,0.99875,1.0,1.16875,1.5878846901655197,-0.2564289093017578,1.1968947747356977,8.852449316978454,10.440334007143974,1.6593320447206497,0.7134999999999999,0.06112343445420265
800,generalization,identity,384,0.935,1.0,1.0,1.0775,1.4148077964782715,-0.05329523086547846,1.1545250092123813,9.97064653158188,11.38545432806015,1.4305812573432923,1.0,0.0
800,generalization,random,32,0.5766666666666667,0.8675,0.9333333333333332,0.0,0.03110165352622668,-0.1274329384167989,0.0,0.0,0.0,0.07142086878418923,0.6011666666666667,0.004029557108879089
800,generalization,svd,32,0.7525,0.9675,0.9925,1.64,0.10568652987480164,-0.09206478595733641,1.0737613695399952,1.635308302640915,1.7409948325157165,0.12881905138492583,0.5865,0.03917529433965683
800,generalization,learned,32,0.6675,0.97,0.9975,1.6675,0.08007928118109703,-0.13514378666877747,1.0861841620199997,1.0752016687393189,1.155280949920416,0.13168940782546998,0.594,0.048210643231868744
800,generalization,random,64,0.765,0.9733333333333333,0.9883333333333333,0.0,0.15957101821899414,-0.1076753795146942,0.0,0.0,0.0,0.18904205073912939,0.69525,0.0030568345294644437
800,generalization,svd,64,0.875,0.9975,1.0,1.175,0.4189666908979416,-0.09244461059570312,1.168656068546081,2.6597500932216644,3.078716784119606,0.44097052156925204,0.6435,0.02353443019092083
800,generalization,learned,64,0.865,0.995,1.0,1.1875,0.32701950818300246,-0.10697526931762694,1.1575252762060777,2.23240196287632,2.559421471059322,0.35333219677209854,0.62925,0.04507908597588539
800,generalization,random,128,0.8566666666666666,0.9941666666666666,0.9991666666666666,0.0,0.4049213333924611,-0.1173474907875061,0.0,0.0,0.0,0.43065597057342525,0.7685833333333333,0.0026448803643385568
800,generalization,svd,128,0.9475,1.0,1.0,1.065,0.8229682236909867,-0.02048175334930415,1.200113820588205,4.485462080836296,5.308430304527283,0.832877841591835,0.811,0.00845204945653677
800,generalization,learned,128,0.8625,1.0,1.0,1.2,0.6928070509433746,-0.1679288387298584,1.1719733394945078,4.2902736556529995,4.9830807065963745,0.7321478295326233,0.6515000000000001,0.045859768986701965
800,generalization,random,256,0.9266666666666667,1.0,1.0,0.0,0.9064388910929361,-0.06760785579681394,0.0,0.0,0.0,0.9299692595005036,0.8185833333333333,0.0019239739049226046
800,generalization,svd,256,0.9625,1.0,1.0,1.045,1.0983996033668517,0.059365701675415064,1.157947815196904,7.342374912500381,8.440774515867233,1.1067183828353881,0.7432499999999999,0.00780403520911932
