N,projection_type,W,recall_at_1,recall_at_5,recall_at_10,mean_rank,median_rank,mean_margin,p5_margin,p10_margin,mean_gap_ratio,p5_gap_ratio,p10_gap_ratio,mean_prototype_density,p5_prototype_density,p10_prototype_density,mean_top1_dist,mean_top2_dist,mean_decision_gap,p5_decision_gap,p10_decision_gap,std_recall_at_1
1600,oracle_svd,32,0.67,0.910625,0.97,2.270625,1.0,0.07946326598525047,-0.1437683582305908,-0.09826263189315795,1.0622691248283547,0.9247201474527089,0.9465814607721084,1.8413575586676598,1.4946992874145508,1.5472596645355225,1.594663310572505,1.7160270038992167,0.12136369332671165,0.005872154235839843,0.0119071364402771,0.0
1600,random,64,0.6916666666666665,0.9235416666666666,0.9679166666666666,2.362083333333333,1.0,0.10660209221144518,-0.1573607563972473,-0.1037657658259074,1.0759915017776318,0.9137630232998845,0.9438999469971664,1.867284137805303,1.6657257417837779,1.7035053809483844,1.6220421632627644,1.7730453900247811,0.1510032267620166,0.006536861260732015,0.014140943686167399,0.03916223379169726
1600,oracle_svd,64,0.843125,0.999375,1.0,1.201875,1.0,0.3947221929579973,-0.09811995029449462,-0.05487098693847656,1.159942036749303,0.9674616685069428,0.9812934566324035,3.3179375337064267,3.010621964931488,3.0653178691864014,2.6702679315954447,3.090808720886707,0.42054078929126265,0.022999083995819094,0.05430381298065186,0.0
1600,random,128,0.8077083333333333,0.9791666666666666,0.9941666666666666,1.4647916666666667,1.0,0.3151671546200911,-0.18697893619537354,-0.09766944249471028,1.1094030893512672,0.9499680837302495,0.9731749803237185,3.8238517742852367,3.508277014891307,3.572609774271647,3.2841421655813847,3.6411636519928776,0.357021486411492,0.01735368569691976,0.03351401487986247,0.03183753244556213
1600,oracle_svd,128,0.90375,1.0,1.0,1.1325,1.0,0.736756324917078,-0.11104240417480468,0.008198738098144535,1.1797515419753528,0.9786154664406179,1.001751548976291,5.582056722342968,5.150907111167908,5.2523809432983395,4.495117349773645,5.252624340057373,0.7575069902837277,0.05508050918579102,0.1084263801574707,0.0
3200,raw,,0.925625,0.9975,0.9996875,1.105625,1.0,1.1643598605692387,-0.06943645477294921,0.10822076797485361,1.1264666881817391,0.9936642161023947,1.009901420000128,11.570355033278465,10.763922119140625,10.948284912109376,9.921252845972777,11.107804210186005,1.1865513642132282,0.07561368942260743,0.16109838485717776,0.0
3200,random,32,0.42812500000000003,0.6998958333333333,0.8009375,11.3765625,2.0,-0.012488060550143322,-0.17396136621634165,-0.13542717297871906,0.9969769624191142,0.813119354049367,0.8510667570894294,0.8749158610838155,0.7425462245941162,0.7680531859397887,0.779961411456267,0.8306498514115811,0.050688439955314,0.0021981666485468548,0.004441348711649576,0.014673086899717688
3200,oracle_svd,32,0.629375,0.8728125,0.93125,3.4028125,1.0,0.06635656028985977,-0.1822421133518219,-0.12791877985000608,1.0557396312741891,0.899025803668574,0.9292391208426942,1.782831674180925,1.4769202947616578,1.5289996981620788,1.5559133645892143,1.6739578694105148,0.11804450482130051,0.004322528839111329,0.009446799755096436,0.0
3200,random,64,0.6727083333333334,0.916875,0.9641666666666667,2.5364583333333335,1.0,0.09398996632546186,-0.15880907575289407,-0.1066037893295288,1.0681181576009744,0.9098064563664497,0.940014576630638,1.8136799306670826,1.60670565366745,1.6447579781214394,1.5879642883439857,1.7277702362835408,0.13980594793955486,0.005877717336018881,0.012395668029785159,0.02788244170720265
3200,oracle_svd,64,0.8771875,0.998125,1.0,1.1753125,1.0,0.38234452947974207,-0.079658305644989,-0.017369747161865214,1.1595643119429329,0.9730750061073674,0.9934859382490154,3.212607503756881,2.9051323413848875,2.962806153297424,2.6051962839066984,3.0061640424281357,0.4009677585214376,0.017854642868041993,0.037250971794128424,0.0
3200,random,128,0.7921874999999999,0.9727083333333333,0.991875,1.5601041666666664,1.0,0.29467270488540337,-0.18839871883392334,-0.10238951047261553,1.103419532396004,0.9476598263780706,0.9712303698348421,3.7280349677552778,3.4112582961718245,3.476580635706584,3.226468713084857,3.5656665998200574,0.33919788673520085,0.015995081265767416,0.03170359134674072,0.03662076909578317
3200,oracle_svd,128,0.9271875,1.0,1.0,1.0840625,1.0,0.7088508387655019,-0.04516017436981201,0.06259751319885258,1.1702107056430016,0.9906647295170476,1.012855178788058,5.46474824860692,5.027272295951843,5.124771213531494,4.466265679225326,5.1887827645242215,0.7225170852988958,0.0513615131378174,0.11216092109680176,0.0
